SEMÁFORO COMPARTILHADO,SEMÁFORO,IP DDNS,Nº CHIP,ELSYS,LOCALIZAÇÃO 1,LOCALIZAÇÃO 2,ENDEREÇO,BAIRRO,TIPO DE CONTROLADOR,EMPRESA,ROTA,OBSERVAÇOES,SUB-ÁREA (TRAFGO),LATITUDE ,LONGITUDE,GEOREFERÊNCIA,NOBREAK,Nº do No Break,CÂMERAS,BOTOEIRA COM DISPOSITIVO SONORO,HORÁRIO DE FUNCIONAMENTO Do dispositivo sonoro,BOTOEIRA SIMPLES,Coluna Cônica,Coluna Simples,Semipórtico Cônico,Semipórtico Simples,Semipórtico Estruturado,Pórtico Estruturado,Veicular TIPO I,VeiculaR Tipo T,PEDESTRE SIMPLES,Pedestre com cronômetro,Ciclista ,Anteparo TIpo I,Veicular com sequencial,Veicular com cronômetro,Luminárias,Conta-Contrato,NÚMERO DO Medidor ,Data de implantação
181,181,s05374.dyndns.org,,,AV. DANTAS BARRETO,RUA DO PEIXOTO,AV. DANTAS BARRETO X RUA DO PEIXOTO,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.071401,-34.883221,"-8.071401,-34.883221",NÃO,,,,,,,,1,3,,,10,,,,,5,,,,4.005.616.013,3.210.575.528,16/10/1982
182,182,s05035.dyndns.org,,,RUA DA CONCÓRDIA,RUA DO PEIXOTO,RUA DA CONCÓRDIA X RUA DO PEIXOTO,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.070961,-34.883875,"-8.070961,-34.883875",NÃO,,,,,,,,,2,,,4,,,,,1,,,,4.005.616.803,61.256.520,20/06/1980
183,183,s05643.dyndns.org,,,AV. FERNANDO SIMÕES BARBOSA,RUA JACK AYRES,AV. FERNANDO SIMÕES BARBOSA X RUA JACK AYRES,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.119451,-34.901152,"-8.119451,-34.901152",SIM,,,,,2,,4,,4,,,8,,4,,,4,,,,4.006.873.885,62.097.736,18/07/1990
184,184,s05090.dyndns.org,,,RUA BARÃO DE ITAMARACÁ,RUA DA HORA,RUA BARÃO DE ITAMARACÁ X RUA DA HORA,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.043834,-34.892819,"-8.043834,-34.892819",SIM,,,,,,,1,,3,,,6,,,,,3,,,,4.008.174.810,3.010.029.644,04/05/1991
185,185,s05505.dyndns.org,,,AV. GEN. SAN MARTIN,PRÓX A RUA CLOTILDE DE OLIVEIRA,AV. GEN. SAN MARTIN X PRÓX A RUA CLOTILDE DE OLIVEIRA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,ANTENA REMOVIDA (ESTAVA QUEBRADA),,-8.052688,-34.922385,"-8.052688,-34.922385",NÃO,,,,,2,,,2,,,,4,,,2,,2,,,,4.005.622.544,61.256.865,15/04/2004
186,186,s05274.dyndns.org,,,AV. BEBERIBE,RUA DA CORAGEM,AV. BEBERIBE X RUA DA CORAGEM,ENCRUZILHADA,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.036111,-34.891244,"-8.036111,-34.891244",SIM,,,,,,,3,4,2,,,12,,4,,,2,,,,7.000.605.810,90.946.790,08/10/2004
187,187,s05582.dyndns.org,,,AV. BEBERIBE,RUA DA REGENERAÇÃO,AV. BEBERIBE X RUA DA REGENERAÇÃO,ÁGUA FRIA,GIT-SM 6 FASES,SERTTEL,2,,,-8.018510,-34.893277,"-8.018510,-34.893277",NÃO,,,,,,,,,2,,,8,,,,,4,,,,4.012.281.973,80.149.506,24/04/1982
188,188,s05363.dyndns.org,,,AV. SANTOS DUMONT,RUA DO FUTURO,AV. SANTOS DUMONT X RUA DO FUTURO,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.040902,-34.900096,"-8.040902,-34.900096",SIM,,,,,,,1,,2,,,4,,,,,,,,,4.008.174.097,3.204.904.609,04/12/1987
189,189,s05542.dyndns.org,,,RUA DOM MANOEL DE MEDEIROS,EM FRENTE A PRAÇA FARIAS NEVES,RUA DOM MANOEL DE MEDEIROS X EM FRENTE A PRAÇA FARIAS NEVES,DOIS IRMÃOS,GIT-SM 6 FASES,SINALVIDA,9,,,-8.015840,-34.943625,"-8.015840,-34.943625",NÃO,,,2,24h,,,,2,,,,4,,,2,,2,,,,4.011.843.927,,01/04/2004
190,190,s05698.dyndns.org,,,AV. BOA VIAGEM,RUA PADRE LEANDRO CARMELO,AV. BOA VIAGEM X RUA PADRE LEANDRO CARMELO,BOA VIAGEM,GIT-SM 6 FASES,SINALVIDA,6,,,-8.146655,-34.905891,"-8.146655,-34.905891",NÃO,,,,,2,,2,,,1,,1,,,1,,,,,,4.005.864.246,NF 00653,27/02/1980
191,191,,,,RUA JOSÉ BONIFÁCIO,RUA CONDE DE IRAJÁ,RUA JOSÉ BONIFÁCIO X RUA CONDE DE IRAJÁ,TORRE,DIGICON - CD300,SINALVIDA,8,,,-8.046004,-34.907050,"-8.046004,-34.907050",NÃO,,,,,,,,1,2,,,5,,,,,2,,1,,4.008.917.774,80.144.881,25/01/1980
192,192,,,,RUA REAL DA TORRE,RUA D. MANOEL DA COSTA,RUA REAL DA TORRE X RUA D. MANOEL DA COSTA,TORRE,DIGICON - CD300,SINALVIDA,8,,,-8.047506,-34.909150,"-8.047506,-34.909150",NÃO,,,,,,,,,3,,,3,,,,,3,,1,,4.008.920.813,3.153.536.782,25/01/1980
193,193,,,,RUA JOSÉ BONIFÁCIO,RUA PADRE ANCHIETA,RUA JOSÉ BONIFÁCIO X RUA PADRE ANCHIETA,TORRE,DIGICON - CD300,SINALVIDA,8,,,-8.047199,-34.906653,"-8.047199,-34.906653",NÃO,,,,,,,,,2,,,3,,,,,2,,1,,7.025.930.333,3.161.687.137,25/01/1980
194,194,s05692.dyndns.org,,,AV. MARTINS DE BARROS,RUA 1° DE MARÇO,AV. MARTINS DE BARROS X RUA 1° DE MARÇO,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.064105,-34.876370,"-8.064105,-34.876370",NÃO,,,,,,,1,,2,,,3,,,,2,,2,,,4.005.610.678,3.211.168.799,17/06/1980
195,195,s05338.dyndns.org,,,RUA AMÉLIA,RUA DO ESPINHEIRO,RUA AMÉLIA X RUA DO ESPINHEIRO,ESPINHEIRO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.045830,-34.895350,"-8.045830,-34.895350",SIM,,,,,,,1,,2,,,3,,,,1,1,1,,,4.008.174.437,3.010.030.679,11/05/1991
196,196,s05347.dyndns.org,,,AV. ALFREDO DE LISBOA,RUA VITAL DE OLIVEIRA,AV. ALFREDO DE LISBOA X RUA VITAL DE OLIVEIRA,BAIRRO DO RECIFE,GIT-SM 6 FASES,SINALVIDA,10,,,-8.060650,-34.870390,"-8.060650,-34.870390",NÃO,,,3,24h,,,,,2,,,3,,2,2,,,,,,4.005.610.236,3.233.350.671,04/11/1983
197,197,s05349.dyndns.org,,,RUA DO SOL,ESQUINA COM A PRAÇA DA REPUBLICA,RUA DO SOL X ESQUINA COM A PRAÇA DA REPUBLICA,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.061107,-34.879324,"-8.061107,-34.879324",NÃO,,,,,2,,1,1,,,,4,,2,,,,,,,4.005.637.398,3.121.407.271,19/03/2004
198 / 356,198,s05583.dyndns.org	,,,AV. JOÃO DE BARROS,RUA. DR. LEOPOLDO LINS,AV. JOÃO DE BARROS X RUA. DR. LEOPOLDO LINS,SANTO AMARO,COMPARTILHADO,SINALVIDA,10,,,-8.049710,-34.890010,"-8.049710,-34.890010",NÃO,,,,,,,2,,1,,,2,,,2,1,1,,,,4.011.843.927,,23/04/1992
199,199,s05092.dyndns.org,,,RUA SÃO JOÃO,RUA DO FORTE,RUA SÃO JOÃO X RUA DO FORTE,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,,-8.071082,-34.880603,"-8.071082,-34.880603",NÃO,,,2,04:30/22:00h,0,,1,,1,,,2,,,2,,1,,,,7.001.018.617,3.130.542.386,13/09/1983
200,200,s04968.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA THOMÉ GIBSON,AV. DOMINGOS FERREIRA X RUA THOMÉ GIBSON,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.098758,-34.886600,"-8.098758,-34.886600",SIM,1191A0010000004696,,,,,,1,1,2,,,5,,,,,,2,,,7.001.891.531,3.203.491.068,21/03/1980
201,201,s05080.dyndns.org,,,ESTRADA DE BELÉM,RUA ANTÔNIO RANGEL,ESTRADA DE BELÉM X RUA ANTÔNIO RANGEL,CAMPO GRANDE,GIT-SM 6 FASES,SERTTEL,2,,,-8.035682,-34.888540,"-8.035682,-34.888540",NÃO,,,,,,,,2,,,,6,,,,,3,,,,7.000.605.357,3.225.344.522,01/08/1980
202,202,s05682.dyndns.org,,,AV. CRUZ CABUGÁ,RUA DNA. MARIA DE SOUZA,AV. CRUZ CABUGÁ X RUA DNA. MARIA DE SOUZA,SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,2,,,-8.040833,-34.872134,"-8.040833,-34.872134",SIM,,,,,4,,3,,4,,,9,,4,,,4,,,,4.010.165.054,3.192.968.134,24/09/1980
203,203,s05020.dyndns.org,,,AV. NOSSA SENHORA DO CARMO,RUA DO IMPERADOR,AV. NOSSA SENHORA DO CARMO X RUA DO IMPERADOR,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.066141,-34.876680,"-8.066141,-34.876680",NÃO,,,,,,,1,,2,,,3,,,,,,1,,,4.005.611.429,3.151.497.046,17/05/1980
204,204,s05022.dyndns.org,,,AV. NOSSA SENHORA DO CARMO,AV. MARTINS DE BARROS,AV. NOSSA SENHORA DO CARMO X AV. MARTINS DE BARROS,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.066098,-34.876106,"-8.066098,-34.876106",NÃO,,,,,,,4,1,,,,4,,4,,,1,,,,4.005.611.518,3.152.885.678,17/05/1980
205 / 211,205,s05368.dyndns.org,,,AV. SUL,ANTES DO VIADUTO DA JOANA BEZERRA ( PISTA PRINCIPAL),AV. SUL X ANTES DO VIADUTO DA JOANA BEZERRA ( PISTA PRINCIPAL),AFOGADOS,GIT-CSMP 10 FASES,SERTTEL,5,,AFOGADOS - AV. SUL,-8.076770,-34.894820,"-8.076770,-34.894820",SIM,,,,,2,,1,2,,,,4,,2,,,,,,,4.005.863.363,3.225.562.589,11/03/2004
206,206,s05693.dyndns.org,,,RUA DO IMPERADOR,RUA SIQUEIRA CAMPOS,RUA DO IMPERADOR X RUA SIQUEIRA CAMPOS,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.062875,-34.876975,"-8.062875,-34.876975",NÃO,,,,,,,,,2,,,4,,,,,,,,,4.005.610.597,3.203.655.842,17/05/1980
207 / 414,207,s05037.dyndns.org,,,RUA IMPERIAL,RUA DO PEIXOTO,RUA IMPERIAL X RUA DO PEIXOTO,SÃO JOSÉ,GIT-SM 6 FASES,SINALVIDA,10,,DANTAS BARRETO,-8.071997,-34.882352,"-8.071997,-34.882352",NÃO,,,,,,,,,2,,,4,,,,,2,,,,4.005.616.072,61.256.482,20/06/1980
208,208,s05515.dyndns.org,,,AV. DR. JOSÉ RUFINO,RUA ITAENGA,AV. DR. JOSÉ RUFINO X RUA ITAENGA,TEJIPIÓ,GIT-SM 6 FASES,SINALVIDA,7,,,-8.090837,-34.951214,"-8.090837,-34.951214",NÃO,,,,,2,,1,,3,,,7,,,2,,4,,,,4.008.922.573,3.151.300.544,08/08/1991
209,209,s05504.dyndns.org,,,RUA DR. JOSÉ MARIANO,RUA VELHA,RUA DR. JOSÉ MARIANO X RUA VELHA,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.064781,-34.885037,"-8.064781,-34.885037",NÃO,,,,,,,,,2,,,3,,,,,2,,,,7.001.018.960,91.335.964,20/01/1981
210,210,s05229.dyndns.org,,,RUA DA AURORA,RUA DA IMPERATRIZ,RUA DA AURORA X RUA DA IMPERATRIZ,SANTO ANTÔNIO,GIT-SM 6 FASES,SINALVIDA,10,ANTENA REMOVIDA (CHEIO DE ÁGUA),,-8.063454,-34.882531,"-8.063454,-34.882531",NÃO,,,,06:00/20:00h,,,3,,1,,,2,,4,,,1,,,,7.001.019.389,91.336.030,20/06/1981
211 / 205,211,s05368.dyndns.org	,,,AV. SUL,ANTES DO VIADUTO DA JOANA BEZERRA ( CORREDOR DE ÔNIBUS ),AV. SUL X ANTES DO VIADUTO DA JOANA BEZERRA ( CORREDOR DE ÔNIBUS ),AFOGADOS,COMPARTILHADO,SERTTEL,5,,AFOGADOS - AV. SUL,-8.076928,-34.894710,"-8.076928,-34.894710",NÃO,,,,,2,,,2,,,,4,,2,,,,,,,,,11/03/2004
212,212,s05501.dyndns.org,,,AV. RECIFE,AV. PRES. KENNEDY,AV. RECIFE X AV. PRES. KENNEDY,AREIAS,GIT-SM 6 FASES,SINALVIDA,7,,,-8.103319,-34.927649,"-8.103319,-34.927649",NÃO,,,,,2,,2,,2,,,8,,,4,,3,,,,4.008.142.233,3.190.590.860,18/07/2016
213,213,s05513.dyndns.org,,,AV. DR. JOSÉ RUFINO,RUA DOMINGOS TEOTÔNIO,AV. DR. JOSÉ RUFINO X RUA DOMINGOS TEOTÔNIO,BARRO,GIT-SM 6 FASES,SINALVIDA,7,,,-8.092925,-34.941609,"-8.092925,-34.941609",NÃO,,,,,,,,,2,,,4,,,2,,2,,,,4.008.922.441,3.204.384.109,18/08/1980
214,214,s05198.dyndns.org,,,AV. CONSELHEIRO ROSA E SILVA,AV. DR. MALAQUIAS,AV. CONSELHEIRO ROSA E SILVA X AV. DR. MALAQUIAS,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.038142,-34.900583,"-8.038142,-34.900583",SIM,,,,,,,1,,2,,,3,,,,,,1,,,4.008.166.760,71.266.737,18/08/1980
215,215,s05149.dyndns.org,,,RUA DO FUTURO,AV. DR MALAQUIAS,RUA DO FUTURO X AV. DR MALAQUIAS,ROSARINHO,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.038757,-34.901782,"-8.038757,-34.901782",SIM,,,,,,,2,,2,,,4,,,,1,,,,,4.008.173.996,80.150.113,27/09/1980
216,216,s05377.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA PADRE CARAPUCEIRO,AV. DOMINGOS FERREIRA X RUA PADRE CARAPUCEIRO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.119076,-34.897531,"-8.119076,-34.897531",SIM,1191.A0.010000004734,,,,,,1,1,1,1,,3,,,,,,2,,,7.001.891.990,3.010.003.680,27/09/1980
217,217,s05029.dyndns.org,,,AV. DOMINGOS FERREIRA,RUA ERNESTO DE PAULA SANTOS,AV. DOMINGOS FERREIRA X RUA ERNESTO DE PAULA SANTOS,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.124700,-34.900211,"-8.124700,-34.900211",SIM,1191A0010000004736,,,,,,1,1,,1,,2,,,,,,2,,,7.009.590.549,3.120.332.790,15/10/1980
218,218,s05178.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAES,EM FRENTE A PRAÇA SALGADO FILHO SUB/CID,AV. MAL. MASCARENHAS DE MORAES X EM FRENTE A PRAÇA SALGADO FILHO SUB/CID,IMBIRIBEIRA,GIT-SM 6 FASES,SERTTEL,5,,,-8.132591,-34.916230,"-8.132591,-34.916230",NÃO,,,,,2,,,2,,,,4,,,2,,2,,,,7.010.585.141,3.205.467.814,19/08/2005
219,219,s05249.dyndns.org,,,RUA ODETE MONTEIRO,E/F A ESCOLA MUNIC. DARCY RIBEIRO,RUA ODETE MONTEIRO X E/F A ESCOLA MUNIC. DARCY RIBEIRO,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.045980,-34.920842,"-8.045980,-34.920842",NÃO,,,,,2,,1,1,,,,2,,,2,,1,,,,7.002.608.264,3.212.946.280,29/11/1980
220,220,s05209.dyndns.org,89550532880017578444AAC005HLR88,,AV. MANOEL BORBA,RUA DA SOLEDADE,AV. MANOEL BORBA X RUA DA SOLEDADE,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.059565,-34.890071,"-8.059565,-34.890071",NÃO,,,,,,,2,,2,,,3,,,,2,2,,1,,4.005.990.020,3.202.796.639,29/11/1980
221,221,s05351.dyndns.org,,,AV. RUI BARBOSA,EM FRENTE AO COLÉGIO DAMAS,AV. RUI BARBOSA X EM FRENTE AO COLÉGIO DAMAS,GRAÇAS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.041944,-34.902881,"-8.041944,-34.902881",SIM,,,,,2,,3,,1,,,3,,2,,,1,,,,4.011.843.927,,28/07/2022
222,222,s05310.dyndns.org,,,RUA DA SOLEDADE,RUA DO RIACHUELO,RUA DA SOLEDADE X RUA DO RIACHUELO,BOA VISTA,GIT-SM 6 FASES,SINALVIDA,10,,,-8.056245,-34.889896,"-8.056245,-34.889896",NÃO,,,,,,,1,,1,,,3,,,,1,1,,,,7.001.020.506,3.121.608.935,29/11/1980
223,223,s05140.dyndns.org,,,RUA PADRE ROMA,RUA DO FUTURO,RUA PADRE ROMA X RUA DO FUTURO,TAMARINEIRA,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.033814,-34.905615,"-8.033814,-34.905615",SIM,,,,,,,4,,3,,,6,,,4,,2,,,,4.008.173.937,3.204.904.579,24/04/1982
224 / 588,224,s05093.dyndns.org,,,RUA DOM MANOEL DE MEDEIROS,E/F A ENTRADA DA UFRPE,RUA DOM MANOEL DE MEDEIROS X E/F A ENTRADA DA UFRPE,DOIS IRMÃOS,COMPARTILHADO,SINALVIDA,9,FALTA GABINETE DA RADIUM,,-8.016476,-34.950951,"-8.016476,-34.950951",NÃO,,,,,2,,1,,1,,,4,,,2,,2,,,,,,16/03/2004
225,225,s05326.dyndns.org,,,AV. MAL. MASCARENHAS DE MORAiS,AV. GEN MARC. ARTUR,AV. MAL. MASCARENHAS DE MORAiS X AV. GEN MARC. ARTUR,IMBIRIBEIRA,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.108870,-34.911830,"-8.108870,-34.911830",SIM,,,,,,,3,,4,,,7,,,2,,4,,,,4.006.903.008,70.108.348,11/12/1982
226 / 138,226,radium-tecnologia.fortiddns.com:20226,,,AV. ANTÔNIO DE GÓES,AV. CONSELHEIRO AGUIAR,AV. ANTÔNIO DE GÓES X AV. CONSELHEIRO AGUIAR,PINA,GIT-CSMP 10 FASES,SERTTEL,3,,ANTÔNIO DE GOES,-8.089550,-34.882736,"-8.089550,-34.882736",SIM,1191.A0.010000004703,3,,,,,5,2,,2,,6,,,,2,,,,,7.002.603.521,3.204.384.826,16/01/1983
227,227,s05160.dyndns.org,,,RUA ANTÔNIO FALCÃO,RUA FRANCISCO DA CUNHA,RUA ANTÔNIO FALCÃO X RUA FRANCISCO DA CUNHA,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.115157,-34.896684,"-8.115157,-34.896684",SIM,,,,,,,1,0,2,,,4,,,,,2,,,,4.006.884.313,62.098.147,26/06/1992
228,228,s05239.dyndns.org,,,AV. CAXANGÁ,EST.BRT ENGENHO POETA (SUB/CID),AV. CAXANGÁ X EST.BRT ENGENHO POETA (SUB/CID),BRASILIT,GIT-SM 6 FASES,SINALVIDA,9,,,-8.034520,-34.950005,"-8.034520,-34.950005",NÃO,,,,,2,,,2,0,,,4,,2,,,,,,,4.011.843.927,,01/04/2013
229,229,s05565.dyndns.org,,,AV. CAXANGÁ,RUA SÃO MATEUS,AV. CAXANGÁ X RUA SÃO MATEUS,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.041579,-34.937045,"-8.041579,-34.937045",NÃO,,,,,,,1,2,2,0,,5,,,,,,,,,4.007.480.160,3.201.778.890,01/09/1982
230,230,s05595.dyndns.org,,,AV. CAXANGÁ,RUA PROF. CHAVES BATISTA,AV. CAXANGÁ X RUA PROF. CHAVES BATISTA,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.037541,-34.944343,"-8.037541,-34.944343",NÃO,,,,,,,2,,,3,,6,,,,,,2,,,4.007.480.950,3.211.803.583,01/09/1982
231 / 608,231,s05596.dyndns.org,,,AV. CAXANGÁ,RUA GENERAL POLIDORO,AV. CAXANGÁ X RUA GENERAL POLIDORO,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.036979,-34.945456,"-8.036979,-34.945456",NÃO,,,,,,,2,,,3,,6,,,,,,2,,,4.007.481.581,3.203.498.151,01/09/1982
232,232,s05688.dyndns.org,,,AV. CAXANGÁ,RUA RODRIGUES FERREIRA,AV. CAXANGÁ X RUA RODRIGUES FERREIRA,VÁRZEA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.032096,-34.954246,"-8.032096,-34.954246",NÃO,,,,,,,2,1,,3,,6,,,,,,2,,,4.007.481.743,3.210.272.886,11/02/1982
233,233,s05230.dyndns.org,,,RUA CARLOS GOMES,ESTRADA DO BONGI,RUA CARLOS GOMES X ESTRADA DO BONGI,PRADO,GIT-SM 6 FASES,SINALVIDA,8,,,-8.066040,-34.914151,"-8.066040,-34.914151",NÃO,,,,,,,,3,,,,8,,,,1,4,,,,7.009.591.006,3.120.066.039,
234,234,s05568.dyndns.org,,,AV. CAXANGÁ,RUA INÁCIO MONTEIRO,AV. CAXANGÁ X RUA INÁCIO MONTEIRO,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.045539,-34.929875,"-8.045539,-34.929875",NÃO,,,,,,,3,,,3,,6,,,,,2,2,,,4.007.479.323,70.511.223,01/09/1982
235,235,s05068.dyndns.org,,,AV. CAXANGÁ,RUA CLÁUDIO BROTHERHOOD,AV. CAXANGÁ X RUA CLÁUDIO BROTHERHOOD,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.046690,-34.927890,"-8.046690,-34.927890",NÃO,,,,,,,2,,,3,,5,,,,,1,2,,,4.007.479.242,70.511.215,01/09/1982
236,236,s05587.dyndns.org,,,AV. CAXANGÁ,RUA GREGÓRIO JR,AV. CAXANGÁ X RUA GREGÓRIO JR,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.051658,-34.918898,"-8.051658,-34.918898",NÃO,,,,,,,3,,,3,,6,,,,,,2,,,4.007.397.459,91.308.681,01/09/1982
237,237,s05165.dyndns.org,,,RUA REAL DA TORRE,EM FRENTE AO COLÉGIO JOAQUIM TÁVORA,RUA REAL DA TORRE X EM FRENTE AO COLÉGIO JOAQUIM TÁVORA,MADALENA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.055776,-34.909047,"-8.055776,-34.909047",NÃO,,,,,2,,,,2,,,4,,2,,,2,,,,4.011.843.927,,09/03/2015
238,238,s05388.dyndns.org,,,AV. BEBERIBE,RUA FREDERICO,AV. BEBERIBE X RUA FREDERICO,ENCRUZILHADA,GIT-SM 6 FASES,SERTTEL,2,,,-8.034461,-34.891581,"-8.034461,-34.891581",NÃO,,,,,,,,0,3,,,5,,,,,2,1,,,4.012.282.376,82.184.163,21/05/1981
239,239,s05208.dyndns.org,,,RUA SÃO MATEUS,AV. MAURÍCIO DE NASSAU,RUA SÃO MATEUS X AV. MAURÍCIO DE NASSAU,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.036687,-34.935337,"-8.036687,-34.935337",NÃO,,,4,06:30/20:00h,,,2,4,,,,8,,,4,,4,,,,7.002.609.252,3.010.131.173,20/08/2004
240,240,s05380.dyndns.org,,,AV. CONS. AGUIAR,RUA FREI LEANDRO,AV. CONS. AGUIAR X RUA FREI LEANDRO,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.102537,-34.887433,"-8.102537,-34.887433",SIM,,,,,2,,1,,2,,,4,,2,,,2,,,,4.006.852.462,3.130.981.878,14/02/2004
241,241,s05199.dyndns.org,,,AV. CONS. AGUIAR,RUA DES. JOÃO PAES,AV. CONS. AGUIAR X RUA DES. JOÃO PAES,BOA VIAGEM,GIT-CSMP 10 FASES,SERTTEL,3,,,-8.126841,-34.899838,"-8.126841,-34.899838",SIM,,,,,2,,3,,2,,,3,,,2,,2,,,,4.007.957.926,71.107.450,14/02/2004
242,242,s05629.dyndns.org,,,ESTRADA DOS REMÉDIOS,RUA NICOLAU PEREIRA,ESTRADA DOS REMÉDIOS X RUA NICOLAU PEREIRA,AFOGADOS,GIT-SM 6 FASES,SINALVIDA,8,,,-8.075989,-34.907286,"-8.075989,-34.907286",NÃO,,,,,,,,,4,,,6,,,,,4,,,,4.011.843.927,,06/08/1981
243,243,s05585.dyndns.org,,,AV. NORTE MIGUEL ARRAES DE ALENCAR,RUA DA AURORA (PONTE DE LIMOEIRO),AV. NORTE MIGUEL ARRAES DE ALENCAR X RUA DA AURORA (PONTE DE LIMOEIRO),SANTO AMARO,GIT-CSMP 10 FASES,SERTTEL,5,,,-8.049989,-34.873799,"-8.049989,-34.873799",SIM,,,,,,,1,1,3,,,7,,,,,4,,2,,7.024.326.220,3.161.794.510,08/08/1981
244,244,s04955.dyndns.org,,,AV. VISCONDE DE SUASSUNA,RUA GERVÁSIO PIRES,AV. VISCONDE DE SUASSUNA X RUA GERVÁSIO PIRES,SANTO AMARO,GIT-SM 6 FASES,SINALVIDA,10,,,-8.054486,-34.883273,"-8.054486,-34.883273",NÃO,,,,,,,,,3,,,6,,,,,3,,,,4.010.182.692,81.376.131,11/09/1981
245,245,s05345.dyndns.org,,,RUA 21 DE ABRIL,AV. MANOEL GONÇALVES DA LUZ,RUA 21 DE ABRIL X AV. MANOEL GONÇALVES DA LUZ,MUSTARDINHA,GIT-SM 6 FASES,SINALVIDA,8,,,-8.075102,-34.918391,"-8.075102,-34.918391",NÃO,,,,,,,2,,4,,,8,,2,,1,,,,,4.012.939.383,3.220.228.877,18/09/1981
246,246,s05544.dyndns.org,,,ESTRADA DO BARBALHO,AV. MAURÍCIO DE NASSAU,ESTRADA DO BARBALHO X AV. MAURÍCIO DE NASSAU,IPUTINGA,GIT-SM 6 FASES,SINALVIDA,9,,,-8.035471,-34.939850,"-8.035471,-34.939850",NÃO,,,,,4,,2,4,,,,8,,,4,,4,,,,7.002.610.218,3.203.490.410,20/08/2004
247,247,s05205.dyndns.org,,,AV. RECIFE,RUA RAIMUNDO DINIZ,AV. RECIFE X RUA RAIMUNDO DINIZ,IPSEP,GIT-SM 6 FASES,SINALVIDA,7,,,-8.116248,-34.923724,"-8.116248,-34.923724",NÃO,,,,,2,,,1,1,,,3,,,,,1,2,,,7.010.584.730,3.140.782.636,24/12/1998
248,248,s05264.dyndns.org,,,AV. DOIS IRMÃOS,E/F À FUNDAÇÃO JOAQUIM NABUCO,AV. DOIS IRMÃOS X E/F À FUNDAÇÃO JOAQUIM NABUCO,APIPUCOS,GIT-CSMP 10 FASES,SERTTEL,1,,,-8.020731,-34.935794,"-8.020731,-34.935794",SIM,,,2,05:00/22:00h,,,1,,2,,,4,,2,,,,,,,4.012.686.612,83.208.244,29/12/1981
249,249,s05348.dyndns.org,,,AV. DO FORTE,RUA GOMES TABORDA,AV. DO FORTE X RUA GOMES TABORDA,CORDEIRO,GIT-SM 6 FASES,SINALVIDA,9,,,-8.053507,-34.928933,"-8.053507,-34.928933",NÃO,,,,,,,1,,4,,,8,,4,,2,,,,,4.006.555.999,62.566.523,06/05/1988
